locus_tag	ftype	length_bp	gene	EC_number	COG	product
IKELMNLG_00001	CDS	297				hypothetical protein
IKELMNLG_00002	CDS	2670				hypothetical protein
IKELMNLG_00003	tRNA	92				tRNA-Ala(agc)
IKELMNLG_00004	CDS	2163				hypothetical protein
IKELMNLG_00005	CDS	1110				hypothetical protein
IKELMNLG_00006	CDS	957				hypothetical protein
IKELMNLG_00007	CDS	1173				hypothetical protein
IKELMNLG_00008	CDS	582				hypothetical protein
IKELMNLG_00009	CDS	291				hypothetical protein
IKELMNLG_00010	CDS	126				hypothetical protein
IKELMNLG_00011	CDS	279				hypothetical protein
IKELMNLG_00012	CDS	1233	nhaA_1		COG3004	Na(+)/H(+) antiporter NhaA
IKELMNLG_00013	CDS	204				hypothetical protein
IKELMNLG_00014	CDS	327				hypothetical protein
IKELMNLG_00015	CDS	867				hypothetical protein
IKELMNLG_00016	CDS	1650				hypothetical protein
IKELMNLG_00017	CDS	981				hypothetical protein
IKELMNLG_00018	CDS	474				hypothetical protein
IKELMNLG_00019	CDS	411				hypothetical protein
IKELMNLG_00020	CDS	954	lgt_1	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
IKELMNLG_00021	CDS	195				hypothetical protein
IKELMNLG_00022	CDS	414				hypothetical protein
IKELMNLG_00023	CDS	762	zupT_1			Zinc transporter ZupT
IKELMNLG_00024	CDS	765				hypothetical protein
IKELMNLG_00025	CDS	843				hypothetical protein
IKELMNLG_00026	CDS	717				hypothetical protein
IKELMNLG_00027	CDS	654				hypothetical protein
IKELMNLG_00028	CDS	201				hypothetical protein
IKELMNLG_00029	CDS	609				hypothetical protein
IKELMNLG_00030	CDS	165				hypothetical protein
IKELMNLG_00031	CDS	192				hypothetical protein
IKELMNLG_00032	CDS	855		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
IKELMNLG_00033	CDS	906				hypothetical protein
IKELMNLG_00034	CDS	345				hypothetical protein
IKELMNLG_00035	CDS	798	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
IKELMNLG_00036	CDS	633				hypothetical protein
IKELMNLG_00037	CDS	294				hypothetical protein
IKELMNLG_00038	CDS	561				hypothetical protein
IKELMNLG_00039	CDS	234				hypothetical protein
IKELMNLG_00040	CDS	957				IS481 family transposase IS1649
IKELMNLG_00041	CDS	393				hypothetical protein
IKELMNLG_00042	CDS	954				hypothetical protein
IKELMNLG_00043	CDS	357			COG3039	IS5 family transposase ISBli8
IKELMNLG_00044	CDS	135				hypothetical protein
IKELMNLG_00045	CDS	714				hypothetical protein
IKELMNLG_00046	CDS	639				hypothetical protein
IKELMNLG_00047	CDS	357				hypothetical protein
IKELMNLG_00048	CDS	1230			COG0654	putative protein
IKELMNLG_00049	CDS	1197			COG0654	putative protein
IKELMNLG_00050	CDS	237				hypothetical protein
IKELMNLG_00051	CDS	219				hypothetical protein
IKELMNLG_00052	CDS	198				hypothetical protein
IKELMNLG_00053	CDS	264				hypothetical protein
IKELMNLG_00054	CDS	588				hypothetical protein
IKELMNLG_00055	CDS	606				hypothetical protein
IKELMNLG_00056	CDS	840	frp	1.5.1.38		NADPH-flavin oxidoreductase
IKELMNLG_00057	CDS	1218				IS110 family transposase IS110
IKELMNLG_00058	CDS	942				hypothetical protein
IKELMNLG_00059	CDS	726		1.-.-.-		putative oxidoreductase
IKELMNLG_00060	CDS	726	xynR_1		COG1414	HTH-type transcriptional regulator XynR
IKELMNLG_00061	CDS	930	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
IKELMNLG_00062	CDS	321				hypothetical protein
IKELMNLG_00063	CDS	567				hypothetical protein
IKELMNLG_00064	CDS	642				hypothetical protein
IKELMNLG_00065	CDS	555				hypothetical protein
IKELMNLG_00066	CDS	585				hypothetical protein
IKELMNLG_00067	CDS	576				hypothetical protein
IKELMNLG_00068	CDS	843	azoB_1	1.7.-.-		NAD(P)H azoreductase
IKELMNLG_00069	CDS	441	yesE		COG3631	putative protein YesE
IKELMNLG_00070	CDS	672				hypothetical protein
IKELMNLG_00071	CDS	891				hypothetical protein
IKELMNLG_00072	CDS	441				hypothetical protein
IKELMNLG_00073	CDS	681				hypothetical protein
IKELMNLG_00074	CDS	963				hypothetical protein
IKELMNLG_00075	CDS	1029				hypothetical protein
IKELMNLG_00076	CDS	1596				hypothetical protein
IKELMNLG_00077	CDS	294				hypothetical protein
IKELMNLG_00078	CDS	345			COG3039	IS5 family transposase IS1650
IKELMNLG_00079	CDS	243				hypothetical protein
IKELMNLG_00080	CDS	402				hypothetical protein
IKELMNLG_00081	CDS	384				hypothetical protein
IKELMNLG_00082	CDS	555				hypothetical protein
IKELMNLG_00083	CDS	507				hypothetical protein
IKELMNLG_00084	CDS	459				hypothetical protein
IKELMNLG_00085	CDS	1095				hypothetical protein
IKELMNLG_00086	CDS	1536				hypothetical protein
IKELMNLG_00087	CDS	1179				hypothetical protein
IKELMNLG_00088	CDS	342				hypothetical protein
IKELMNLG_00089	CDS	486				hypothetical protein
IKELMNLG_00090	CDS	399				hypothetical protein
IKELMNLG_00091	CDS	1065				hypothetical protein
IKELMNLG_00092	CDS	237				hypothetical protein
IKELMNLG_00093	CDS	708		3.1.1.1	COG2272	Carboxylesterase
IKELMNLG_00094	CDS	384	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
IKELMNLG_00095	CDS	846				hypothetical protein
IKELMNLG_00096	CDS	2262				hypothetical protein
IKELMNLG_00097	CDS	558				hypothetical protein
IKELMNLG_00098	CDS	2220				hypothetical protein
IKELMNLG_00099	CDS	387				hypothetical protein
IKELMNLG_00100	CDS	552				hypothetical protein
IKELMNLG_00101	CDS	339				hypothetical protein
IKELMNLG_00102	CDS	999				hypothetical protein
IKELMNLG_00103	CDS	309				hypothetical protein
IKELMNLG_00104	CDS	468				hypothetical protein
IKELMNLG_00105	CDS	735				hypothetical protein
IKELMNLG_00106	CDS	804				hypothetical protein
IKELMNLG_00107	CDS	642				hypothetical protein
IKELMNLG_00108	CDS	1356				hypothetical protein
IKELMNLG_00109	CDS	1182				hypothetical protein
IKELMNLG_00110	CDS	585				hypothetical protein
IKELMNLG_00111	CDS	762				hypothetical protein
IKELMNLG_00112	CDS	1026				hypothetical protein
IKELMNLG_00113	CDS	660				hypothetical protein
IKELMNLG_00114	CDS	774				hypothetical protein
IKELMNLG_00115	CDS	414				hypothetical protein
IKELMNLG_00116	CDS	456				hypothetical protein
IKELMNLG_00117	CDS	804				hypothetical protein
IKELMNLG_00118	CDS	540				hypothetical protein
IKELMNLG_00119	CDS	681	lnrK_1		COG2197	Transcriptional regulatory protein LnrK
IKELMNLG_00120	CDS	1530				hypothetical protein
IKELMNLG_00121	CDS	747				hypothetical protein
IKELMNLG_00122	CDS	429				hypothetical protein
IKELMNLG_00123	CDS	651				hypothetical protein
IKELMNLG_00124	CDS	285				hypothetical protein
IKELMNLG_00125	CDS	855				hypothetical protein
IKELMNLG_00126	CDS	1191	tetX2	1.14.13.231		Flavin-dependent monooxygenase
IKELMNLG_00127	CDS	615				hypothetical protein
IKELMNLG_00128	CDS	1251	yycB_1		COG2807	putative transporter YycB
IKELMNLG_00129	CDS	711	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
IKELMNLG_00130	CDS	879		2.1.1.255		Geranyl diphosphate 2-C-methyltransferase
IKELMNLG_00131	CDS	1323		4.2.3.118		2-methylisoborneol synthase
IKELMNLG_00132	CDS	1416				hypothetical protein
IKELMNLG_00133	CDS	1143				hypothetical protein
IKELMNLG_00134	CDS	1308	phy	3.1.3.8	COG4247	3-phytase
IKELMNLG_00135	CDS	456			COG1846	putative HTH-type transcriptional regulator
IKELMNLG_00136	CDS	369				hypothetical protein
IKELMNLG_00137	CDS	495				hypothetical protein
IKELMNLG_00138	CDS	972				hypothetical protein
IKELMNLG_00139	CDS	198				hypothetical protein
IKELMNLG_00140	CDS	1416	mbtI	5.4.99.5	COG0147	Salicylate synthase
IKELMNLG_00141	CDS	1764	irtB	3.6.3.-	COG1132	Iron import ATP-binding/permease protein IrtB
IKELMNLG_00142	CDS	1863	irtA_1	3.6.3.-	COG1132	Iron import ATP-binding/permease protein IrtA
IKELMNLG_00143	CDS	729				hypothetical protein
IKELMNLG_00144	CDS	834	pikAV_1	3.1.2.-		Thioesterase PikA5
IKELMNLG_00145	CDS	1236		1.14.15.22		Vitamin D3 dihydroxylase
IKELMNLG_00146	CDS	2034				hypothetical protein
IKELMNLG_00147	CDS	1152				hypothetical protein
IKELMNLG_00148	CDS	5529	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
IKELMNLG_00149	CDS	6690	dltA_2	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
IKELMNLG_00150	CDS	1662	dhbE	6.3.2.-	COG1021	2,3-dihydroxybenzoate-AMP ligase
IKELMNLG_00151	CDS	1626	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
IKELMNLG_00152	CDS	855	ddpC		COG1173	putative D,D-dipeptide transport system permease protein DdpC
IKELMNLG_00153	CDS	951	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
IKELMNLG_00154	CDS	1587	gsiB_1		COG0747	Glutathione-binding protein GsiB
IKELMNLG_00155	CDS	222	subB_1			Ferredoxin-2
IKELMNLG_00156	CDS	450				hypothetical protein
IKELMNLG_00157	CDS	399				hypothetical protein
IKELMNLG_00158	CDS	555				hypothetical protein
IKELMNLG_00159	CDS	933				hypothetical protein
IKELMNLG_00160	CDS	1125	rppA	2.3.1.233		1,3,6,8-tetrahydroxynaphthalene synthase
IKELMNLG_00161	CDS	516				hypothetical protein
IKELMNLG_00162	CDS	1032				hypothetical protein
IKELMNLG_00163	CDS	432				hypothetical protein
IKELMNLG_00164	CDS	606				hypothetical protein
IKELMNLG_00165	CDS	948	ppsC_1	2.3.1.41		Phthiocerol synthesis polyketide synthase type I PpsC
IKELMNLG_00166	CDS	210				hypothetical protein
IKELMNLG_00167	CDS	537				hypothetical protein
IKELMNLG_00168	CDS	285				hypothetical protein
IKELMNLG_00169	CDS	1179	ydhP_1		COG2814	Inner membrane transport protein YdhP
IKELMNLG_00170	CDS	606	yyaP_1		COG0262	putative protein YyaP
IKELMNLG_00171	CDS	474	kcsA			pH-gated potassium channel KcsA
IKELMNLG_00172	CDS	1122	tet(X)_1	1.14.13.231		Flavin-dependent monooxygenase
IKELMNLG_00173	CDS	1758				hypothetical protein
IKELMNLG_00174	CDS	546				hypothetical protein
IKELMNLG_00175	CDS	933	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
IKELMNLG_00176	CDS	858	pdxI_1	1.1.1.65		Pyridoxine 4-dehydrogenase
IKELMNLG_00177	CDS	723				hypothetical protein
IKELMNLG_00178	CDS	552	ydaF_1	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
IKELMNLG_00179	CDS	615				hypothetical protein
IKELMNLG_00180	CDS	1473	tap_1	3.4.14.-		Tripeptidyl aminopeptidase
IKELMNLG_00181	CDS	1197				hypothetical protein
IKELMNLG_00182	CDS	834	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
IKELMNLG_00183	CDS	540				Calerythrin
IKELMNLG_00184	CDS	273				hypothetical protein
IKELMNLG_00185	CDS	714				hypothetical protein
IKELMNLG_00186	CDS	1224		1.5.1.43	COG1748	Carboxynorspermidine synthase
IKELMNLG_00187	CDS	276				hypothetical protein
IKELMNLG_00188	CDS	366				hypothetical protein
IKELMNLG_00189	CDS	1146				hypothetical protein
IKELMNLG_00190	CDS	984	hdfR_1			HTH-type transcriptional regulator HdfR
IKELMNLG_00191	CDS	423			COG1846	putative HTH-type transcriptional regulator
IKELMNLG_00192	CDS	1305	eno_1	4.2.1.11		Enolase
IKELMNLG_00193	CDS	1380	celA	3.2.1.4		Endoglucanase CelA
IKELMNLG_00194	CDS	291				hypothetical protein
IKELMNLG_00195	CDS	549				hypothetical protein
IKELMNLG_00196	CDS	1902				hypothetical protein
IKELMNLG_00197	tRNA	73				tRNA-Gly(gcc)
IKELMNLG_00198	CDS	834	mshB_1	3.5.1.103		1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
IKELMNLG_00199	CDS	1890				hypothetical protein
IKELMNLG_00200	CDS	675		5.4.2.12	COG0406	PE-PGRS family protein PE_PGRS11
IKELMNLG_00201	CDS	1242		4.2.1.8	COG4948	D-mannonate dehydratase
IKELMNLG_00202	CDS	1137	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
IKELMNLG_00203	CDS	582				hypothetical protein
IKELMNLG_00204	CDS	1479	rox			Rifampicin monooxygenase
IKELMNLG_00205	CDS	1122	tet(X)_2	1.14.13.231		Flavin-dependent monooxygenase
IKELMNLG_00206	CDS	696				HTH-type transcriptional repressor
IKELMNLG_00207	CDS	1575	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
IKELMNLG_00208	CDS	1461	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
IKELMNLG_00209	CDS	444				hypothetical protein
IKELMNLG_00210	CDS	360				hypothetical protein
IKELMNLG_00211	CDS	405				hypothetical protein
IKELMNLG_00212	CDS	759	pobR_1		COG1414	p-hydroxybenzoate hydroxylase transcriptional activator
IKELMNLG_00213	CDS	816				hypothetical protein
IKELMNLG_00214	CDS	270				hypothetical protein
IKELMNLG_00215	CDS	873				hypothetical protein
IKELMNLG_00216	tRNA	87				tRNA-Arg(ccg)
IKELMNLG_00217	CDS	2457				hypothetical protein
IKELMNLG_00218	CDS	651	yceI_1			Protein YceI
IKELMNLG_00219	CDS	720	comB	3.1.3.71		2-phosphosulfolactate phosphatase
IKELMNLG_00220	CDS	981				hypothetical protein
IKELMNLG_00221	CDS	687				hypothetical protein
IKELMNLG_00222	CDS	375				hypothetical protein
IKELMNLG_00223	CDS	1119			COG3385	IS4 family transposase MICBce6
IKELMNLG_00224	CDS	1122				hypothetical protein
IKELMNLG_00225	CDS	1422				hypothetical protein
IKELMNLG_00226	CDS	867				hypothetical protein
